mean_temperature,lowest_temperature,highest_temperature,max_wind,mean_wind,mean_releative_humidity,mean_steam_pressure,mean_local_atomospheric_pressure,highest_thawing_air_pressure,lowest_thawing_air_pressure,mean_thawing_air_pressure,total_sunshine_time,total_sumstroke,mean_vestibule,average_ground_temperature,quantity
23.7,18.9,30.1,3.5,1.4,60.6,17,997.1,1008.8,1004.4,1006.8,7.9,20.24,6.6,29.7,1
21.3,18.3,24.9,2.9,1.4,59.9,14.9,994.7,1007.7,1001.7,1004.5,1.4,12.82,9.5,23.7,1
20.2,18,23.9,4.3,1.4,67.3,15.7,990.9,1002.8,999.3,1000.7,3.3,11.27,8.5,24.5,1
21.3,16.6,27.1,4.7,1.7,65.5,16,993,1005,1001,1002.8,12.1,23.45,4.5,26.2,0
22,18.3,27,5.1,1.5,64,16.7,996.2,1008.5,1004.1,1006,4.9,15.75,7.4,25.3,0
21.6,18.8,25.1,3.7,1.1,74.9,19,997.7,1009,1005.4,1007.5,1.4,10.34,9.5,22.7,1
21.7,17.2,27,2.7,1.4,60.8,15.2,1001,1013,1008.2,1010.8,9.8,23.64,6.1,24,1
22.5,16.3,28.7,2.8,1.4,56.4,15.1,1002.1,1014.1,1009.3,1011.9,13,28.06,0.8,26.8,0
22.8,18.9,27.5,3.9,1.3,66.9,18.2,1000.3,1012.2,1008.3,1010.1,2.4,14.78,7.8,25.3,0
24.8,19.9,30.8,4,1.5,54.9,16.4,996.9,1008.6,1004.6,1006.6,12.6,26.17,3.6,30.4,0
22.4,19.1,27.2,3.6,1.8,61.3,16.2,994.8,1005.9,1003,1004.6,3.1,17.65,8.1,26.4,0
22.7,19.1,28.4,4.2,2.3,68.1,18.3,994,1005.8,1001.6,1003.8,10.2,24.52,5.4,28.9,0
23.7,19.4,28.7,4.4,2.2,60.1,17,997.1,1009.1,1005.5,1006.8,12.6,28.21,3,32.2,0
25,18.2,32,4.3,1.8,45.1,12.9,998.3,1010.2,1005.8,1008,12.4,27.4,5.1,30.6,0
24.5,20.9,28.9,4.4,2,50.6,15.3,994.8,1007.4,1002.4,1004.4,8.5,22.19,8,30.7,0
25.2,20.1,32.1,3.7,1.9,62.8,18.8,998.1,1010.1,1005.5,1007.8,11.1,25.7,4,32.8,0
27.1,21.3,32.9,3.2,1.2,57.1,19.5,1000.2,1011.4,1008.7,1009.9,7.8,20.44,7.9,31.7,0
22.3,20.2,26.9,5.7,2.4,88.3,23.5,993.7,1009.4,998.3,1003.4,0,1.29,10,22.5,1
22.3,19.1,25.5,4.5,2,81.9,21.8,992.3,1003.4,1000.2,1002.1,2.9,13.56,8.8,23.7,1
23.3,20.6,27.3,4.3,1.1,85.1,24.1,989.6,1003.2,997,999.3,1.9,9.31,9.5,24.5,1
24.7,21.9,29.1,3.2,1.5,78.5,24,993.1,1007,999.2,1002.8,8.4,18.79,7.3,26.6,1
24.4,21.6,27.9,5.1,0.9,83.8,25.5,999.6,1011,1007,1009.3,0.5,8.76,9.1,24.7,1
21.9,21,22.8,2.3,0.8,94.6,24.8,999.3,1010.8,1007.6,1009.2,0,2.09,9.9,22.2,1
22.6,20.6,25.3,2.9,0.7,95.4,26.1,997.5,1009.1,1006.2,1007.3,0.1,4.73,9.6,23.5,1
27.4,22.5,32.6,2.6,0.8,74.4,26.4,990.1,1006.5,995.4,999.7,10.1,22.88,6,29.1,1
27.3,24,31.8,3.9,1.7,69.6,24.9,988.1,1001.6,995.2,997.6,8.4,22.43,7.1,30,0
25.3,23.4,29,3,1.2,72.8,23.4,993.3,1006.3,1001.2,1003,1.7,10.88,8.6,27,1
23.9,21.5,27.1,3.4,1.8,57.8,17.1,998.2,1010.2,1006.1,1008,2.6,15.83,8.5,27,0
23.7,19.5,29.2,2.3,1.6,51.4,14.9,1000.3,1011.5,1008.4,1010.1,,27.32,3.6,30.9,0
23.3,17.7,28.1,2.8,1.5,51.5,14.6,1002.4,1013.5,1010.7,1012.2,9.5,23.98,7,29.8,0
20.8,20.1,24.2,1.8,1.1,82.3,20,1004.9,1016.3,1012.9,1014.9,0,4,9.9,22.4,1
23.7,20.4,26.5,1.6,0.7,87.8,25.6,1004.4,1015.2,1013.3,1014.2,0,5.92,9.8,23.9,1
26.8,24.4,29.5,3.9,1.3,82.9,28.9,1004.9,1015.4,1013.9,1014.6,0.1,8.74,9.6,26.9,1
26.6,25.1,28.2,3.6,1.5,82.4,28.5,1003.4,1014.5,1011.8,1013.2,1.1,9.92,7.5,27,1
27.3,24.7,30.9,3.4,1.8,74.8,26.8,1002.4,1013.4,1010.2,1012,7,15.6,6.4,28.9,0
27.9,24.6,31.9,4.2,1.9,69.6,25.7,1001.4,1012.4,1009.7,1011.1,11.3,21.51,5,30.6,0
28.3,24.5,33.2,3.7,1.6,69.6,26.2,1002.3,1013.1,1010.3,1011.9,11,22.91,2.6,32.6,0
28.7,24,34,3.6,1.7,64.3,24.4,1002.4,1013,1010.8,1012,12.9,26.67,0.4,33.4,0
28.1,23.9,32.1,4.1,1.7,66.5,24.7,1002.2,1012.7,1010.6,1011.8,13,25.57,1.3,34.3,0
28.2,23.7,33.2,4.1,1.6,64.8,24.1,1001.9,1012.8,1010,1011.5,13,25.14,0.8,34.2,0
28.7,23.2,34.1,3.2,1.6,64.1,24.3,1001.1,1012.6,1008.8,1010.7,12.9,27.8,0.1,35.6,0
29.5,24.6,34.7,3.3,1.5,62.6,25,999.4,1010.3,1007.3,1009,12.9,25.73,0.4,35.7,0
30.6,24.9,36.9,3.6,1.5,53.6,22.5,999,1009.9,1007.1,1008.5,12.9,26.62,0.3,36.1,0
31.8,25.3,38,3.7,1.4,49.6,22.4,998.6,1009.5,1006.6,1008.1,12.2,25.51,3.5,37.3,0
31.7,29.2,35.7,4,1.8,53.8,25,999,1010,1006.9,1008.5,8,18.94,7.9,37.1,0
31.4,27.2,36.8,4,1.6,59.5,27,997.4,1008.4,1005.1,1006.9,10.2,18.42,4.4,35.8,0
